      1	   1.22	  -0.29	  0.008	1.00000							#	   0.01	  53.38	
      2	  -0.08	   0.35	  0.011	0.99998							#	   0.02	  53.84	
      3	  -0.60	  -0.00	  0.002	1.00004							#	   0.02	  56.87	
      4	   0.14	   0.20	  0.002	0.99994							#	   0.03	  54.39	
      5	  -0.48	   1.16	  0.005	0.99996							#	   0.06	  54.34	
      6	   0.04	   0.31	  0.008	0.99989							#	   0.04	  54.34	
      7	  -0.16	   0.72	  0.006	0.99993							#	   0.04	  55.05	
      8	  -0.17	   0.42	  0.006	1.00006							#	   0.04	  55.00	
      9	   0.59	   0.49	  0.009	1.00020							#	   0.04	  53.18	
     10	  -0.49	   0.59	  0.011	1.00025							#	   0.05	  53.59	
     11	  -0.50	  -0.23	  0.005	1.00013							#	   0.04	  58.64	
     12	  -0.64	   0.11	  0.008	1.00011							#	   0.03	  56.26	
     13	  -0.48	  -0.34	  0.008	1.00013							#	   0.04	  59.24	
     14	   0.11	  -0.16	  0.006	1.00005							#	   0.03	  60.86	
     15	   0.04	  -0.43	  0.004	1.00002							#	   0.03	  58.08	
     16	   0.74	  -0.98	  0.004	0.99992							#	   0.06	  57.88	
     17	  -0.43	   0.10	  0.007	1.00005							#	   0.03	  57.68	
     18	  -0.05	  -0.69	 -0.001	1.00002							#	   0.03	  56.62	
     19	   0.25	   0.53	  0.008	1.00002							#	   0.03	  56.36	
     20	   0.82	  -0.29	  0.007	0.99986							#	   0.04	  57.02	
     21	   0.60	  -0.51	  0.010	0.99985							#	   0.04	  56.11	
     22	   0.69	  -0.53	  0.009	0.99979							#	   0.04	  55.61	
     23	   0.06	  -0.14	  0.010	0.99989							#	   0.03	  57.63	
     24	   0.90	   0.25	  0.001	1.00012							#	   0.04	  54.90	
     25	   0.29	  -0.85	  0.004	0.99991							#	   0.05	  55.56	
     26	   0.85	   0.43	  0.006	0.99993							#	   0.03	  55.86	
     27	   0.01	  -0.83	  0.010	0.99970							#	   0.06	  54.49	
     28	   0.55	  -0.07	  0.009	0.99980							#	   0.03	  55.76	
     29	   0.11	  -0.08	  0.011	0.99998							#	   0.02	  56.87	
     30	   0.12	   1.18	  0.006	1.00038							#	   0.10	  49.34	
     31	  -0.01	   0.18	  0.002	1.00024							#	   0.04	  51.92	
     32	   0.12	   0.37	  0.005	1.00005							#	   0.03	  54.29	
     33	   0.50	  -0.77	  0.010	0.99985							#	   0.05	  55.00	
     34	   1.10	  -0.28	  0.009	0.99998							#	   0.04	  55.51	
     35	   0.17	  -0.16	  0.002	1.00000							#	   0.02	  60.56	
     36	   0.95	  -0.20	  0.005	0.99992							#	   0.04	  55.15	
     37	   1.00	   1.34	  0.011	0.99993							#	   0.07	  55.25	
     38	   1.06	   0.32	  0.016	0.99984							#	   0.04	  53.08	
     39	   0.74	   0.38	  0.014	0.99981							#	   0.03	  52.32	
     40	   1.46	   0.12	  0.015	0.99973							#	   0.06	  50.91	
     41	   1.75	   0.14	  0.014	0.99999							#	   0.05	  55.56	
     42	   2.03	  -0.39	  0.012	1.00008							#	   0.07	  55.51	
     43	   1.12	   0.29	  0.014	0.99994							#	   0.04	  55.10	
     44	   0.90	  -0.14	  0.017	0.99959							#	   0.05	  50.00	
     45	   2.01	  -0.64	  0.016	0.99953							#	   0.11	  47.07	
     46	   2.07	   0.35	  0.016	0.99979							#	   0.08	  50.56	
     47	   2.61	  -0.01	  0.018	0.99997							#	   0.09	  54.75	
     48	   1.21	   0.03	  0.013	1.00002							#	   0.05	  55.61	
     49	   1.49	  -1.00	  0.012	0.99963							#	   0.10	  52.32	
     50	   1.81	  -0.08	  0.009	0.99945							#	   0.09	  47.53	
     51	   3.63	   1.90	  0.013	1.00000							#	   0.22	  53.48	
     52	   2.42	   0.83	  0.018	1.00006							#	   0.10	  54.65	
     53	   0.84	   0.30	  0.013	1.00003							#	   0.04	  54.80	
     54	   2.16	  -0.48	  0.012	0.99980							#	   0.09	  53.23	
     55	   2.88	   0.10	  0.010	1.00003							#	   0.11	  54.85	
     56	   0.96	  -0.25	  0.011	1.00006							#	   0.04	  56.06	
     57	   2.65	  -0.65	  0.011	1.00006							#	   0.11	  56.67	
     58	   1.07	   0.07	  0.007	0.99979							#	   0.05	  52.12	
     59	   2.84	   0.58	  0.014	0.99937							#	   0.13	  44.95	
     60	   2.55	   1.06	  0.018	0.99894							#	   0.16	  41.92	
     61	   5.48	   0.34	  0.012	0.99972							#	   0.33	  46.06	
     62	   2.43	   1.25	  0.014	0.99987							#	   0.12	  49.75	
     63	   4.65	   0.15	  0.015	0.99977							#	   0.26	  47.88	
     64	   5.94	  -0.11	  0.017	0.99950							#	   0.41	  46.21	
     65	   6.52	  -0.28	  0.007	0.99947							#	   0.48	  46.26	
     66	   6.28	   0.88	  0.025	0.99923							#	   0.49	  43.23	
     67	   6.69	  -0.25	  0.017	0.99896							#	   0.54	  42.83	
     68	   6.86	   0.30	  0.014	0.99913							#	   0.48	  41.82	
     69	   7.66	   0.08	  0.012	0.99953							#	   0.58	  45.61	
     70	   7.06	   1.63	  0.020	0.99950							#	   0.55	  45.10	
     71	   7.24	   1.16	  0.027	0.99934							#	   0.60	  42.73	
     72	   7.41	   0.84	  0.014	0.99880							#	   0.69	  37.47	
     73	   8.77	   1.04	  0.027	0.99919							#	   0.86	  40.96	
     74	   7.96	  -0.23	  0.017	0.99900							#	   0.67	  41.26	
     75	   8.33	  -0.36	  0.019	0.99895							#	   0.73	  39.39	
     76	   7.93	   0.38	  0.021	0.99909							#	   0.59	  41.92	
     77	   8.11	  -0.62	  0.015	0.99946							#	   0.65	  43.89	
     78	   8.73	   0.04	  0.016	0.99926							#	   0.80	  44.65	
     79	   7.54	   0.59	  0.015	0.99907							#	   0.68	  41.01	
     80	   8.21	   0.67	  0.024	0.99868							#	   0.81	  38.69	
     81	   8.55	   0.44	  0.026	0.99854							#	   0.83	  36.97	
     82	   9.86	   0.39	  0.023	0.99892							#	   0.94	  39.44	
     83	   8.82	  -0.41	  0.013	0.99892							#	   0.66	  36.26	
     84	   9.08	   1.50	  0.034	0.99923							#	   0.75	  40.15	
     85	   8.97	  -0.25	  0.024	0.99910							#	   0.81	  41.92	
     86	   7.72	   1.13	  0.019	0.99876							#	   0.69	  38.84	
     87	   9.04	  -0.15	  0.026	0.99862							#	   0.81	  38.89	
     88	  10.24	   1.08	  0.029	0.99862							#	   0.98	  37.02	
     89	  10.54	  -0.05	  0.029	0.99877							#	   0.85	  37.68	
     90	   9.39	   0.58	  0.029	0.99895							#	   0.77	  37.07	
     91	   8.36	   0.66	  0.025	0.99892							#	   0.65	  36.97	
     92	   9.75	   0.91	  0.032	0.99881							#	   0.91	  37.73	
     93	   8.40	   0.84	  0.029	0.99901							#	   0.58	  38.54	
     94	   8.06	   0.64	  0.026	0.99906							#	   0.55	  39.49	
     95	   8.85	   0.94	  0.031	0.99887							#	   0.69	  37.98	
     96	   9.72	   0.03	  0.026	0.99867							#	   0.88	  38.59	
     97	   9.96	   0.20	  0.023	0.99908							#	   0.78	  39.34	
     98	   8.09	   0.26	  0.020	0.99928							#	   0.60	  41.87	
     99	   8.47	   1.22	  0.028	0.99915							#	   0.66	  42.02	
    100	   8.27	   0.94	  0.026	0.99887							#	   0.64	  39.44	
    101	   8.17	   1.02	  0.033	0.99884							#	   0.59	  38.89	
    102	   8.82	   0.72	  0.028	0.99889							#	   0.75	  37.88	
    103	   8.20	   0.52	  0.026	0.99902							#	   0.70	  40.10	
    104	   9.11	  -1.15	  0.019	0.99882							#	   0.92	  38.13	
    105	  10.33	  -0.03	  0.022	0.99842							#	   0.91	  35.00	
    106	  10.46	  -0.34	  0.034	0.99862							#	   0.91	  38.03	
    107	   9.65	   0.79	  0.025	0.99856							#	   0.84	  34.09	
    108	  10.04	   0.21	  0.030	0.99886							#	   0.88	  37.32	
    109	  10.14	   0.87	  0.030	0.99874							#	   0.90	  34.75	
    110	  10.00	   0.63	  0.031	0.99855							#	   0.84	  33.03	
    111	   8.38	   0.79	  0.024	0.99836							#	   0.65	  32.02	
    112	  10.59	   0.82	  0.031	0.99886							#	   0.91	  34.24	
    113	   8.92	   0.63	  0.026	0.99913							#	   0.65	  35.96	
    114	   8.67	  -0.73	  0.021	0.99919							#	   0.64	  40.00	
    115	   8.51	   0.00	  0.021	0.99905							#	   0.64	  36.36	
    116	   8.24	   0.65	  0.033	0.99868							#	   0.62	  36.87	
    117	   9.25	   0.29	  0.023	0.99855							#	   0.76	  33.74	
    118	  10.33	   0.61	  0.028	0.99848							#	   0.95	  33.48	
    119	   8.88	  -0.36	  0.026	0.99836							#	   0.73	  31.41	
    120	  11.50	  -0.20	  0.024	0.99844							#	   1.14	  30.30	
    121	   9.89	   0.19	  0.014	0.99853							#	   0.68	  31.36	
    122	  10.95	   1.06	  0.027	0.99854							#	   0.89	  32.78	
    123	  11.21	   0.44	  0.026	0.99818							#	   0.92	  29.39	
    124	  12.25	   0.82	  0.023	0.99813							#	   1.17	  28.74	
    125	  12.59	   0.12	  0.025	0.99786							#	   1.05	  28.03	
    126	  12.21	   1.19	  0.042	0.99782							#	   1.08	  25.45	
    127	  13.41	   0.34	  0.028	0.99834							#	   1.17	  26.87	
    128	  13.91	   0.84	  0.039	0.99803							#	   1.21	  25.96	
    129	  13.63	   0.72	  0.030	0.99810							#	   1.16	  26.26	
    130	  14.10	   0.25	  0.033	0.99783							#	   1.28	  26.52	
    131	  13.45	   1.37	  0.047	0.99780							#	   1.13	  24.85	
    132	  13.78	   0.87	  0.036	0.99795							#	   1.17	  24.75	
    133	  13.69	  -0.22	  0.041	0.99821							#	   1.10	  25.56	
    134	  15.83	   0.18	  0.047	0.99785							#	   1.52	  23.59	
    135	  16.03	   0.31	  0.045	0.99771							#	   1.27	  21.67	
    136	  17.99	   0.96	  0.031	0.99787							#	   1.60	  16.52	
    137	  19.22	   0.21	  0.042	0.99791							#	   1.59	  17.12	
    138	  18.91	   0.75	  0.072	0.99803							#	   1.38	  18.18	
    139	  20.23	   0.91	  0.064	0.99828							#	   1.59	  18.59	
    140	  20.11	   1.41	  0.083	0.99784							#	   1.54	  16.67	
    141	  22.61	   0.48	  0.074	0.99757							#	   1.94	  13.54	
    142	  24.19	   0.76	  0.091	0.99703							#	   1.84	  15.10	
    143	  23.37	   0.98	  0.090	0.99739							#	   1.69	  14.24	
    144	  23.55	   2.07	  0.090	0.99722							#	   1.76	  15.40	
    145	  23.67	   1.65	  0.095	0.99701							#	   1.79	  15.00	
    146	  23.71	   2.26	  0.108	0.99699							#	   1.81	  15.35	
    147	  23.84	   2.14	  0.098	0.99704							#	   1.75	  15.45	
    148	  22.70	   2.56	  0.103	0.99724							#	   1.81	  16.11	
    149	  23.05	   1.87	  0.106	0.99730							#	   1.65	  15.61	
    150	  21.75	   1.95	  0.104	0.99751							#	   1.46	  15.15	
    151	  22.95	   1.96	  0.108	0.99736							#	   1.69	  16.06	
    152	  19.77	   1.00	  0.088	0.99785							#	   1.20	  19.14	
    153	  20.86	   0.61	  0.080	0.99804							#	   1.36	  21.36	
    154	  18.36	   0.61	  0.074	0.99880							#	   1.12	  20.51	
    155	  16.20	   0.69	  0.072	0.99811							#	   0.90	  23.08	
    156	  18.42	   0.71	  0.072	0.99835							#	   1.08	  21.31	
    157	  17.32	   0.92	  0.081	0.99837							#	   1.16	  20.56	
    158	  15.82	   0.51	  0.071	0.99889							#	   0.97	  21.41	
    159	  17.11	   0.10	  0.070	0.99848							#	   1.18	  23.64	
    160	  17.13	   0.64	  0.070	0.99850							#	   1.22	  22.98	
    161	  17.16	   0.85	  0.068	0.99853							#	   1.23	  25.35	
    162	  14.95	   1.13	  0.070	0.99824							#	   1.05	  22.58	
    163	  16.72	   0.98	  0.070	0.99845							#	   1.31	  22.12	
    164	  15.20	   1.89	  0.077	0.99796							#	   1.03	  22.73	
    165	  16.54	   1.53	  0.076	0.99806							#	   1.20	  23.13	
    166	  16.90	   0.82	  0.072	0.99810							#	   1.29	  22.32	
    167	  17.08	   1.63	  0.079	0.99816							#	   1.30	  20.25	
    168	  17.95	   1.04	  0.077	0.99810							#	   1.33	  19.90	
    169	  18.63	   1.54	  0.084	0.99778							#	   1.40	  20.71	
    170	  19.03	   0.20	  0.079	0.99799							#	   1.45	  18.74	
    171	  18.67	   0.71	  0.076	0.99785							#	   1.24	  20.05	
    172	  18.25	   1.05	  0.082	0.99750							#	   1.28	  21.26	
    173	  17.46	   1.50	  0.089	0.99739							#	   1.22	  18.79	
    174	  18.40	   1.72	  0.082	0.99760							#	   1.26	  20.15	
    175	  20.36	   0.98	  0.080	0.99774							#	   1.46	  19.24	
    176	  20.78	   0.56	  0.086	0.99753							#	   1.49	  19.19	
    177	  19.16	   1.27	  0.093	0.99730							#	   1.22	  19.49	
    178	  20.12	   1.14	  0.091	0.99750							#	   1.30	  18.69	
    179	  19.10	   0.93	  0.092	0.99751							#	   1.18	  18.84	
    180	  19.34	   2.49	  0.090	0.99767							#	   1.19	  19.09	
    181	  19.37	   0.24	  0.087	0.99772							#	   1.18	  19.85	
    182	  19.59	   0.44	  0.089	0.99735							#	   1.26	  19.70	
    183	  19.73	   0.52	  0.090	0.99749							#	   1.27	  21.82	
    184	  19.60	   0.62	  0.090	0.99731							#	   1.31	  19.39	
    185	  19.26	   1.97	  0.088	0.99769							#	   1.22	  19.60	
    186	  19.45	   0.71	  0.098	0.99726							#	   1.23	  18.64	
    187	  19.47	   1.71	  0.085	0.99730							#	   1.30	  20.56	
    188	  18.29	   0.57	  0.093	0.99685							#	   1.20	  18.64	
    189	  18.83	   2.81	  0.098	0.99718							#	   1.26	  17.93	
    190	  19.12	   1.12	  0.098	0.99729							#	   1.18	  17.93	
    191	  19.12	   1.18	  0.086	0.99714							#	   1.31	  18.69	
    192	  18.89	   1.65	  0.089	0.99732							#	   1.19	  18.79	
    193	  19.53	   1.11	  0.077	0.99817							#	   1.20	  23.13	
    194	  17.73	   1.42	  0.064	0.99799							#	   1.10	  22.78	
    195	  17.15	   0.82	  0.066	0.99744							#	   1.03	  22.68	
    196	  17.42	   0.96	  0.083	0.99694							#	   1.07	  16.67	
    197	  19.16	   2.30	  0.087	0.99753							#	   1.18	  16.67	
    198	  15.14	   1.10	  0.075	0.99801							#	   0.86	  19.75	
    199	  16.47	   1.80	  0.070	0.99786							#	   0.99	  21.06	
    200	  16.78	   2.39	  0.079	0.99774							#	   1.03	  19.29	
    201	  16.33	   0.97	  0.082	0.99785							#	   0.99	  19.49	
    202	  16.55	   1.58	  0.077	0.99785							#	   1.06	  19.24	
    203	  16.40	   0.57	  0.073	0.99777							#	   1.04	  18.43	
